,Data set,Task,Year published,Local/Cloud,Country,Location,Carbon intensity [g CO₂eq/kWh],Main energy source,Source,Number of GPUs,GPU model,Number of TPUs,TPU model,TDP,TDP Source,Training time [s],Energy consumed [kWh],CO₂eq emitted [kg],Top-5 accuracy,Top-1 accuracy,Hardware burden,BLEU score,F1 score
0,Imagenet,Image Classification,2020.0,local,United States of America,Michigan,506.1,Coal,Carbon Footprint 2020,16.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,950400.0,1056.0,534.4,93.11578945414006,76.6146146067623,,,
1,Imagenet,Image Classification,2020.0,cloud,United States of America,California,191.43,Gas,Carbon Footprint 2020,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,81360.0,45.2,8.7,,79.96100017576727,,,
2,Imagenet,Image Classification,2012.0,local,Canada,Toronto,52.89,Nuclear,ElectricityMap,2.0,GeForce GTX 580,,,244.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-580.c270,475000.0,64.38888889,3.4,84.7588894034044,63.24920037959601,1502045000.0,,
3,Imagenet,Image Classification,2020.0,cloud,United States of America,East,420.5,Gas,Google,64.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,190800.0,848.0,356.6,95.53829649254511,80.75730635183498,,,
4,Imagenet,Image Classification,2016.0,local,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,864000.0,480.0,68.4,95.57407781197631,80.87983432597143,47305730000.0,,
5,Imagenet,Image Classification,2018.0,cloud,United States of America,Google,401.06,Coal,eGRID,100.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,69120.0,480.0,192.5,96.16539993243035,82.9455449296062,,,
6,Imagenet,Image Classification,2018.0,local,China,Shanghai,555.0,Coal,Climate Transparency (2019 Report) ,1.0,?,,,250.0,Median TDP,720000.0,50.0,27.8,91.99108305015746,74.5872649903251,,,
7,WMT2014 English-French,Machine Translation,2018.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,2.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",432000.0,51.6,18.5,,,,42.103074133105196,
8,WMT2014 English-German,Machine Translation,2018.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,2.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",432000.0,51.6,18.5,,,,29.619072245513053,
9,WMT2014 English-French,Machine Translation,2019.0,cloud,United States of America,Georgia Google,415.0,Gas,Patterson et al.,8.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,276480.0,153.6,14.3,,,,40.57629560759459,
10,WMT2014 English-German,Machine Translation,2019.0,cloud,United States of America,Georgia - Google,415.0,Gas,Patterson et al.,,,16.0,Cloud TPU v2,280.0,Patterson et al.,864000.0,1075.2,446.2,,,2488320100000.0,28.3738741645427,
11,WMT2014 English-French,Machine Translation,2019.0,local,Spain,Barcelona,220.26,Oil,Association of Issuing Bodies (AIB),8.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,259200.0,144.0,31.7,,,,43.335700198710825,
12,WMT2014 English-German,Machine Translation,2019.0,local,Spain,Barcelona,220.26,Oil,Association of Issuing Bodies (AIB),8.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,86400.0,48.0,10.6,,,,29.69379915496467,
13,MS COCO,Object Detection,2019.0,cloud,United States of America,Virginia,336.95,Nuclear,Carbon Footprint 2020,1.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",97200.0,5.805,2.0,,,,,
14,WMT2014 English-French,Machine Translation,2019.0,cloud,China,Taiwan Google,545.0,Coal,Patterson et al.,,,512.0,Cloud TPU v3,300.0,Patterson et al.,1728000.0,82575.36,45003.6,,,,43.41560849264083,
15,WMT2014 English-German,Machine Translation,2019.0,cloud,China,Taiwan Google,545.0,Coal,Patterson et al.,,,512.0,Cloud TPU v3,300.0,Patterson et al.,1728000.0,82575.36,46700.0,,,,32.09683161098069,
16,Imagenet,Image Classification,2020.0,cloud,China,Shanghai,555.0,Coal,Climate Transparency (2019 Report) ,1.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,526507.0,36.56298516,20.3,,84.38098715253375,,,
17,Imagenet,Image Classification,2020.0,local,United States of America,Michigan,506.1,Coal,Carbon Footprint 2020,8.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,604800.0,336.0,170.0,95.25204423238395,80.46213794545272,,,
18,Imagenet,Image Classification,2020.0,local,United Kingdom,London,233.14,Gas,UK Govt – Defra/BEIS,8.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,21600.0,12.0,2.8,93.5955188741636,77.10930396893018,,,
19,Imagenet,Image Classification,2020.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,8.0,Titan XP GPUs,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,864000.0,480.0,171.7,,80.63865688470823,,,
20,Conll 2003,Named Entity Recognition,2021.0,cloud,China,Hangzhou,555.0,Coal,Climate Transparency (2019 Report) ,1.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,162000.0,11.25,6.2,,,,,93.58180986595156
21,Conll 2003,Named Entity Recognition,2021.0,cloud,China,Hangzhou,555.0,Coal,Climate Transparency (2019 Report) ,1.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,86400.0,6.0,3.3,,,,,94.51889625799534
22,Imagenet,Image Classification,2020.0,local,United States of America,Maryland,381.55,Gas,Carbon Footprint 2020,4.0,Nvidia GTX 1080,,,250.0,techpowerup.com,259200.0,72.0,27.5,,76.74436710023578,,,
23,Imagenet,Image Classification,2020.0,local,United States of America,California,191.43,Gas,Carbon Footprint 2020,3.0,?,,,250.0,Median TDP,102840.0,21.425,4.1,,71.70596727400799,,,
24,Imagenet,Image Classification,2020.0,local,China,Shenzhen,555.0,Coal,Climate Transparency (2019 Report) ,4.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,842400.0,234.0,129.9,96.6589098830734,83.35100218045774,,,
25,Imagenet,Image Classification,2021.0,local,Singapore,Singapore,418.8,Oil,Singapore Energy Market Authority (EMA),8.0,Tesla V100 PCIe 16 GB,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957,172800.0,115.2,48.2,,83.22465684098633,,,
26,Imagenet,Image Classification,2021.0,local,Australia,Melbourne,664.97,Coal,ElectricityMap,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,259200.0,144.0,95.8,93.83102748418433,78.04810732702789,,,
27,Imagenet,Image Classification,2021.0,local,United States of America,Average,401.06,Coal,eGRID,8.0,Quadro GP100,,,235.0,https://www.techpowerup.com/gpu-specs/quadro-gp100.c2994,172800.0,90.24,36.2,,82.41806644285825,,,
28,WMT2014 English-French,Machine Translation,2021.0,local,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,172800.0,96.0,8.7,,,,42.06980764987457,
29,Imagenet,Image Classification,2021.0,cloud,United States of America,Facebook,401.06,Coal,eGRID,1.0,Tesla V100 PCIe 16 GB,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-16-gb.c2957,345600.0,28.8,11.6,,82.51967510507934,,,
30,MS COCO,Object Detection,2021.0,cloud,China,Beijing,555.0,Coal,Climate Transparency (2019 Report) ,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,259200.0,144.0,79.9,,,,,
31,WMT2014 English-German,Machine Translation,2021.0,local,Japan,Tokyo,606.218,Oil,ElectricityMap,128.0,P100 GPU,,,300.0,"https://www.anandtech.com/show/10222/nvidia-announces-tesla-p100-accelerator-pascal-power-for-hpc#:~:text=The%20P100%20is%20rated%20for,in%20the%20230W%2D250W%20range.",46800.0,499.2,302.6,,,,35.12634799493097,
32,Imagenet,Image Classification,2021.0,local,United States of America,Texas/Washington,268.46,Gas,Carbon Footprint 2020,1.0,v100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,172800.0,12.0,3.2,,68.05263034106014,,,
33,Imagenet,Image Classification,2021.0,cloud,Multiple countries,China | Singapore,481.5,Coal,"Enerdata 2019, EMA 2019",8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,259200.0,144.0,69.3,,86.33890602503078,,,
34,MS COCO,Object Detection,2021.0,local,China,"Xiamen, Fujian",555.0,Coal,Climate Transparency (2019 Report) ,4.0,NVIDIA RTX 2080 Ti,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",345600.0,82.56,45.8,,,,,
35,MS COCO,Object Detection,2021.0,local,China,"Xiamen, Fujian",555.0,Coal,Climate Transparency (2019 Report) ,4.0,NVIDIA RTX 2080 Ti,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",259200.0,61.92,34.4,,,,,
36,Imagenet,Image Classification,2021.0,cloud,China,Taiwan,555.0,Coal,Climate Transparency (2019 Report) ,,,1.0,TPUv3,300.0,https://cacm.acm.org/magazines/2020/7/245702-a-domain-specific-supercomputer-for-training-deep-neural-networks/fulltext,87264000.0,7272.0,4036.0,,87.85813506951845,,,
37,MS COCO,Object Detection,2021.0,local,China,Wuhan,555.0,Coal,Climate Transparency (2019 Report) ,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,147600.0,82.0,45.5,,,16684704000.0,,
38,Imagenet,Image Classification,2021.0,cloud,United States of America,South+East,401.06,Coal,eGRID,1.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,127666.0,8.865694444,3.6,,83.81620421131909,,,
39,Conll 2003,Named Entity Recognition,2021.0,local,China,Shanghai,555.0,Coal,Climate Transparency (2019 Report) ,8.0,GeForce RTX 3090,,,350.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,7200.0,5.6,3.1,,,,,93.14761629000016
40,Imagenet,Image Classification,2021.0,cloud,United States of America,California,191.43,Gas,Carbon Footprint 2020,,,64.0,Cloud TPU v3,300.0,Patterson et al.,86400.0,460.8,88.2,,81.04951954089981,,,
41,Imagenet,Image Classification,2021.0,cloud,Multiple countries,"Beijing, California",392.92,Coal,,8.0,GeForce GTX 1080 Ti,,,250.0,techpowerup.com,72000.0,40.0,15.7,,83.8992888375347,,,
42,Imagenet,Image Classification,2021.0,cloud,United States of America,Google,401.06,Coal,eGRID,,,1.0,TPUv3,450.0,https://cacm.acm.org/magazines/2020/7/245702-a-domain-specific-supercomputer-for-training-deep-neural-networks/fulltext,1451520000.0,181440.0,72768.3,,90.26321462472633,,,
43,Imagenet,Image Classification,2021.0,local,Singapore,Singapore,418.8,Oil,Singapore Energy Market Authority (EMA),32.0,A100 GPU,,,250.0,https://www.nvidia.com/en-us/data-center/a100/,432000.0,960.0,402.0,,87.12231308401793,,,
44,WMT2014 English-French,Machine Translation,2021.0,local,China,Soochow,555.0,Coal,Climate Transparency (2019 Report) ,8.0,GeForce RTX 3090,,,350.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-3090.c3622,30000.0,23.33333333,13.0,,,,43.921570332653495,
45,WMT2014 English-German,Machine Translation,2021.0,local,China,Soochow,555.0,Coal,Climate Transparency (2019 Report) ,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,432000.0,240.0,133.2,,,48833282000.0,30.928526735589948,
46,MS COCO,Object Detection,2021.0,local,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,32.0,v100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,432000.0,960.0,87.1,,,,,
47,MS COCO,Object Detection,2021.0,local,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,16.0,v100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,432000.0,480.0,43.6,,,,,
48,Imagenet,Image Classification,2021.0,cloud,Multiple countries,"Beijing, California",392.92,Coal,,16.0,A100 GPU,,,250.0,https://www.nvidia.com/en-us/data-center/a100/,172800.0,192.0,75.4,96.11485993656851,82.85140794743121,,,
49,Conll 2003,Named Entity Recognition,2015.0,local,Japan,Tokyo,636.734,Oil,ElectricityMap,1.0,Intel Xeon E5-2697,,,130.0,https://ark.intel.com/content/www/us/en/ark/products/75283/intel-xeon-processor-e52697-v2-30m-cache-2-70-ghz.html,21600.0,0.78,0.5,,,,,91.57523786911219
50,SQuAD 1.1,Question Answering,2017.0,cloud,United States of America,Ohio,603.21,Coal,Carbon Footprint 2020,1.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,302400.0,21.0,12.7,,,4272911900.0,,80.27419804900667
51,SQuAD 1.1,Question Answering,2017.0,local,Israel,Tel Aviv,560.0,Oil,OECD,1.0,Titan Xp PASCAL 12GB.,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,21600.0,1.5,0.8,,,,,83.3107741111583
52,SQuAD 1.1,Question Answering,2017.0,local,Israel,Tel Aviv,560.0,Oil,OECD,1.0,Titan Xp PASCAL 12GB.,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,21600.0,1.5,0.8,,,,,84.20605012881418
53,SQuAD 1.1,Question Answering,2018.0,local,United States of America,Washington,85.2,Hydro,Carbon Footprint 2019,3.0,GTX-1080 GPUs,,,250.0,techpowerup.com,1209600.0,252.0,21.5,,,,,85.83329243459991
54,Conll 2003,Named Entity Recognition,2018.0,local,Canada,Quebec,1.3,Hydro,UN Framework Convention on Climate Change (2019). ,2.0,GPU RTX,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",1728000.0,206.4,0.3,,,,,91.75642758120355
55,Imagenet,Image Classification,2019.0,local,China,Beijing,555.0,Coal,Climate Transparency (2019 Report) ,4.0,?,,,250.0,Median TDP,129600.0,36.0,20.0,92.64437907332497,75.64894097381202,,,
56,SQuAD 1.1,Question Answering,2018.0,local,Canada,Ontario,51.91,Nuclear,ElectricityMap,4.0,GTX Titan GPUs 12GB ,,,250.0,"https://www.techpowerup.com/gpu-specs/geforce-gtx-titan.c1996#:~:text=The%20GPU%20is%20operating%20at,rated%20at%20250%20W%20maximum.",604800.0,168.0,8.7,,,,,83.56488730221196
57,SQuAD 1.1,Question Answering,2019.0,local,Russia,Moscow,355.96,Gas,ElectricityMap,8.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,172800.0,96.0,34.2,,,,,84.6768610829735
58,Conll 2003,Named Entity Recognition,2019.0,,United States of America,Illinois,371.28,Coal,Carbon Footprint 2020,8.0,?,,,250.0,Median TDP,86400.0,48.0,17.8,,,,,84.78299485357752
59,Imagenet,Image Classification,2020.0,cloud,United States of America,Google,401.06,Coal,eGRID,,,128.0,Cloud TPU v3,300.0,Patterson et al.,5400.0,57.6,23.1,,,,,
60,WMT2014 English-German,Machine Translation,2020.0,cloud,United States of America,Google North Carolina,675.4,Gas,Patterson et al.,,,1024.0,Cloud TPU v3,300.0,Patterson et al.,267840.0,24100.0,4800.0,,,,,
61,SQuAD 1.1,Question Answering,2021.0,cloud,United States of America,Google Georgia,415.0,Gas,Patterson et al.,,,1024.0,Cloud TPU v3,300.0,Patterson et al.,2332800.0,179000.0,72200.0,,,,,
62,Imagenet,Image Classification,2021.0,local,Australia,Melbourne,664.97,Coal,ElectricityMap,1.0,NVIDIA V100 ,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,4212000.0,292.5,194.5,,,,,
63,WMT2014 English-French,Machine Translation,2017.0,cloud,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,8.0,Tesla K80,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,3196800.0,2131.2,303.7,,,143216640000.0,40.43303611320174,
64,WMT2014 English-German,Machine Translation,2017.0,cloud,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,8.0,Tesla K80,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,1598400.0,1065.6,151.8,,,71608320000.0,25.141865281904586,
65,WMT2014 English-German,Machine Translation,2017.0,cloud,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,8.0,Tesla K80,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-k80.c2616,1209600.0,806.4,114.9,,,54190080000.0,26.386016061556887,
66,WMT2014 English-German,Machine Translation,2021.0,cloud,Japan,Chiba,606.218,Coal,ElectricityMap,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,28800.0,16.0,9.7,,,,29.296642714935167,
67,WMT2014 English-French,Machine Translation,2020.0,cloud,United States of America,Average,401.06,Coal,eGRID,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,172800.0,96.0,38.5,,,,43.78751947814943,
68,WMT2014 English-German,Machine Translation,2020.0,cloud,United States of America,Average,401.06,Coal,eGRID,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,1296000.0,720.0,288.8,,,,30.75419297270745,
69,WMT2014 English-French,Machine Translation,2020.0,local,Canada,Quebec,1.3,Hydro,UN Framework Convention on Climate Change (2019). ,8.0,NVIDIA RTX 2080 Ti,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",2419200.0,1155.84,1.5,,,,43.16319325707684,
70,WMT2014 English-German,Machine Translation,2020.0,local,Canada,Quebec,1.3,Hydro,UN Framework Convention on Climate Change (2019). ,8.0,NVIDIA RTX 2080 Ti,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",1209600.0,577.92,0.8,,,,29.584643339126306,
71,Imagenet,Image Classification,2020.0,local,South Korea,Seoul,500.0,Oil,Climate Transparency (2019 Report),1.0,NVIDIA Titan-Xp,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,172800.0,12.0,6.0,,78.27187381663568,,,
72,Conll 2003,Named Entity Recognition,2020.0,local,United Kingdom,London,233.14,Gas,UK Govt – Defra/BEIS,1.0,GTX 1080Ti,,,250.0,techpowerup.com,21600.0,1.5,0.3,,,,,93.41394990485126
73,WMT2014 English-German,Machine Translation,2020.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,1.0,GeForce Titan RTX,,,280.0,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,108000.0,8.4,3.0,,,,25.20981284600893,
74,WMT2014 English-German,Machine Translation,2020.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,1.0,GeForce Titan RTX,,,280.0,https://www.techpowerup.com/gpu-specs/titan-rtx.c3311,432000.0,33.6,12.0,,,,27.35228727151865,
75,WMT2014 English-German,Machine Translation,2021.0,local,Japan,Tokyo,606.218,Oil,ElectricityMap,8.0,V100 GPU,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,223200.0,124.0,75.2,,,,33.88765660060742,
76,WMT2014 English-German,Machine Translation,2018.0,local,China,Shenzhen,680.0,Coal,ClimateTransparency (2017Report),8.0,Tesla P40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-p40.c2878,302400.0,168.0,114.2,,,,29.221713984516423,
77,WMT2014 English-German,Machine Translation,2017.0,cloud,United States of America,Ohio,603.21,Coal,Carbon Footprint 2020,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,302400.0,168.0,101.3,,,34183295000.0,28.386416283758,
78,Conll 2003,Named Entity Recognition,2019.0,local,United States of America,Illinois,371.28,Coal,Carbon Footprint 2020,1.0,GTX 1080,,,250.0,techpowerup.com,172800.0,12.0,4.5,,,,,93.4025518173093
79,Conll 2003,Named Entity Recognition,2018.0,local,United States of America,Washington,85.2,Hydro,Carbon Footprint 2019,3.0,GTX-1080 GPUs,,,250.0,techpowerup.com,1209600.0,252.0,21.5,,,,,92.24522767803987
80,WMT2014 English-French,Machine Translation,2016.0,local,United States of America,California,191.43,Gas,Carbon Footprint 2020,32.0,Tesla K40,,,245.0,https://www.techpowerup.com/gpu-specs/tesla-k40c.c2505,864000.0,1881.6,360.2,,,118643100000.0,35.90338677504997,
81,Conll 2003,Named Entity Recognition,2017.0,local,United States of America,Washington,309.9,Hydro,Carbon Footprint 2019,32.0,?,,,250.0,Median TDP,1814400.0,4032.0,1249.5,,,,,92.01949150820813
82,Conll 2003,Named Entity Recognition,2019.0,cloud,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,1.0,M60,,,300.0,https://www.techpowerup.com/gpu-specs/tesla-m60.c2760,14400.0,1.2,0.2,,,,,92.74044629528716
83,WMT2014 English-French,Machine Translation,2019.0,cloud,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,432000.0,240.0,21.8,,,23652864000.0,43.27060813068786,
84,WMT2014 English-German,Machine Translation,2019.0,cloud,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,432000.0,240.0,21.8,,,23652864000.0,30.095958309499633,
85,MS COCO,Object Detection,2020.0,cloud,China,Beijing,555.0,Coal,Climate Transparency (2019 Report) ,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,777600.0,432.0,239.8,,,,,
86,MS COCO,Object Detection,2019.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,8.0,p6000,,,40.0,https://www.techpowerup.com/gpu-specs/quadro-p600.c2933,43200.0,3.84,1.4,,,,,
87,Imagenet,Image Classification,2020.0,local,United Arab Emirates,Abu Dhabi,426.0,Gas,Dubai Electricity & Water Authority,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,216000.0,120.0,51.1,95.76067169683505,81.49403984028086,,,
88,Imagenet,Image Classification,2021.0,cloud,Google,Google,454.8,Gas,Google,,,128.0,TPUv3,300.0,Patterson et al.,900.0,9.6,4.4,,75.89240222437668,,,
89,WMT2014 English-German,Machine Translation,2021.0,local,United States of America,Washington,90.74,Hydro,Carbon Footprint 2020,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,86400.0,48.0,4.4,,,,28.67976115391766,
90,SQuAD 1.1,Question Answering,2016.0,local,United States of America,Washington,85.2,Hydro,Carbon Footprint 2019,1.0,GeForce Titan X,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,72000.0,5.0,0.4,,,790142400.0,,81.48039594077161
91,SQuAD 1.1,Question Answering,2016.0,local,United States of America,Washington,85.2,Hydro,Carbon Footprint 2019,1.0,GeForce Titan XP,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,72000.0,5.0,0.4,,,790142400.0,,77.29272598822081
92,SQuAD 1.1,Question Answering,2021.0,cloud,Google,Google,454.8,Gas,Google,,,256.0,TPUv2,280.0,Patterson et al.,900.0,17.92,8.2,,,,,91.55364202842686
93,Imagenet,Image Classification,2020.0,local,United Kingdom,Ireland,348.04,Oil,Association of Issuing Bodies (AIB),2.0,Titan X,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,702000.0,97.5,33.9,96.31380910430836,82.58514281214497,,,
94,Imagenet,Image Classification,2020.0,local,United Kingdom,Ireland,348.04,Oil,Association of Issuing Bodies (AIB),8.0,RTX2080Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,817200.0,454.0,158.0,,,,,
